,experiment,variant,batch_size,total_steps,final_val_loss,final_val_perplexity,final_val_accuracy,final_train_loss,mean_tokens_per_sec,mean_step_time_ms,mean_forward_ms,mean_backward_ms,mfu,wall_clock_s,peak_step_memory_mb,activation_saved_mb,activation_saved_mb_per_sample,mean_grad_norm,frac_steps_clipped,recon_drift_max,grad_cosine_vs_autograd,status
exp1_baseline_x,1,baseline,128,763,4.827873825292568,124.94502309217096,0.2674898938782651,4.871542825835931,154833.54578393555,424.59198056110023,325.35228456694506,66.60752422464304,0.13384685486876027,354.5626064352691,9672.25732421875,5402.0830078125,41.820343017578125,0.5543303211972723,0.05504587155963303,,,ok
exp2_midpoint_x,2,midpoint,128,763,4.841973671922938,126.71920722401639,0.2646183587564825,4.885490866901939,126371.40262061486,519.596445601562,349.5692819740032,138.62518462082434,0.10924257208270968,423.9528220407665,4716.33642578125,433.5830078125,3.003936767578125,0.6575993614303018,0.057667103538663174,0.0,0.9999996423721313,ok
exp3_euler_x,3,euler,128,763,4.774483885363631,118.44916549412387,0.2722223115285564,4.816914163820552,115041.44116155374,570.780000275579,367.12995664399244,169.80216243349273,0.09944831400122267,464.3517103269696,4716.33642578125,433.5830078125,3.003936767578125,0.8194904021362177,0.07339449541284404,0.0,0.9999999403953552,ok
exp4_euler_2x,4,euler,256,382,5.224083642940012,185.6909333411005,0.23396191597596822,5.266307659462492,120363.5456251104,1089.178846856533,731.3897067824014,335.2235526933486,0.10404904144774194,439.9307506456971,5165.83642578125,818.0830078125,3.0039215087890625,0.6682625559612094,0.08115183246073299,0.0,0.9999992251396179,ok
exp5_euler_4x,5,euler,512,191,6.174924324670122,480.546657017896,0.16802489708581256,6.201898520976855,121519.71659286109,2157.2935977479915,1460.034670651614,672.4019795512105,0.10504850087974352,433.69001481309533,8544.07861328125,1587.0830078125,3.0039138793945312,1.1348500603624663,0.10471204188481675,0.0,0.9999998807907104,ok
exp6_euler_8x,6,euler,1024,96,6.746235183621824,850.8494331676441,0.12223674935237093,6.762286605286647,122599.48651906117,4276.4618337640295,2915.445025900136,1330.9352562945821,0.10598191493980405,430.9627169892192,16750.07861328125,3125.0830078125,3.0039100646972656,3.181236625649035,0.125,0.0,1.0,ok
